kyoku,ka
交通局,労働課
交通局,工務課
交通局,総務課
交通局,自動車課
交通局,電気課
交通局,電車課
出納長室,
労働局,労政課
労働局,失業保険徴収課
労働局,総務課
労働局,職業安定課
広報部,
建築局,企画課
建築局,工事課
建築局,建設業室
建築局,指導課
建設局,公園観光課
建設局,区画整理課
建設局,整地工事課
建設局,河川課
建設局,港湾部工事課
建設局,港湾部管理課
建設局,総務課
建設局,臨時露店対策部
建設局,道路課
建設局,都市計画課
民生局,世話課
民生局,保護課
民生局,保険課
民生局,児童課
民生局,生活課
民生局,総務課
民生局,養育院
水道局,下水課
水道局,建設課
水道局,業務課
水道局,給水課
水道局,総務課
知事室,
経済局,中央卸売市場
経済局,商工課
経済局,林務課
経済局,総務課
経済局,貿易課
経済局,農務課
経済局,農地課
経済局,返還物資課
経済局,食料課
総務局,人事課
総務局,地方課
総務局,学務課
総務局,文書課
総務局,特別調査課
総務局,監査課
総務局,福利課
総務局,統計課
総務局,臨時国勢調査部
総務局,都立大学事務局
能率部,
衛生局,予防課
衛生局,公衆衛生課
衛生局,医務課
衛生局,清掃事業部作業課
衛生局,清掃事業部管理課
衛生局,看護課
衛生局,総務課
衛生局,薬務課
財務局,主税部第一課
財務局,主税部第二課
財務局,予算課
財務局,渉外部庶務課
財務局,渉外部管理課
財務局,管財課
財務局,経理課
財務局,連絡調整室
