kyoku,ka,kakari,notes
知事室,,,
能率部,,,
広報部,,,
総務局,文書課,"総務係、法規係、文書係、訴訟係、調査係",
総務局,人事課,"秘書係、人事係、計理係",
総務局,地方課,"区政係、市町村係、公安係",
総務局,学務課,"学務係、私学係、審査係",
総務局,監査課,"企画係、監査第一係、監査第二係、監査第三係",
総務局,統計課,"庶務係、人口統計係、生産統計係、消費統計係、労働統計係、集査係",
総務局,福利課,"管理係、勤労係",
総務局,特別調査課,"庶務係、団体係、監理係、審査係",
総務局,臨時国勢調査部,"庶務係、調査係、企画係",
総務局,都立大学事務局,"総務課、教務課、学生課",
財務局,経理課,"庶務係、用品係、契約係、検収係、輸送係",
財務局,予算課,"議会係、予算第一係、予算第二係、予算第三係、公債係",
財務局,管財課,"管理第一係、管理第二係、用地係、評価係、測量係、通信係",
財務局,主税部第一課,"庶務係、調査係、徴収係、事業係",
財務局,主税部第二課,"直税第一係、直税第二係、直税第三係、間税第一係、間税第二係",
財務局,渉外部庶務課,"庶務係、調査係、外事係",
財務局,渉外部管理課,"企画係、業務係、指導係、厚生係",
財務局,連絡調整室,,
民生局,総務課,"総務係、調査係、施設係",
民生局,保護課,"管理係、指導係、保護係、援護係",
民生局,児童課,"福祉係、養護係、母子係",
民生局,生活課,"企画係、組合指導係、福利係、貯蓄金融係",
民生局,保険課,"庶務係、組合係、船員係、年金係、保険審査官室",
民生局,世話課,"庶務係、世話第一係、世話第二係",
民生局,養育院,"庶務課(庶務係、企画係、経理係)、保護課(管理係、保護係、分院等)",
経済局,総務課,"総務係、物価係、権度係",
経済局,商工課,"商工係、振興係、物資係、金融係、賠償係",
経済局,農務課,"農産係、水産係、畜産係、農業改良係、農業協同組合係",
経済局,農地課,"農地係、耕地係、開拓係",
経済局,林務課,"木材係、山林係、燃料係",
経済局,食料課,"米穀係、食品係",
経済局,返還物資課,"事務係、管理係、処理係",
経済局,貿易課,"貿易係、生産係",
経済局,中央卸売市場,"庶務課、水産品課、農産品課、指図課",
建設局,総務課,"総務係、経理係、契約係",
建設局,都市計画課,"事務係、技術係",
建設局,公園観光課,"管理係、観光係、霊園係、工事係",
建設局,道路課,"管理係、工事係",
建設局,河川課,"管理係、改修係、防災係",
建設局,区画整理課,"庶務係、計画係、整地係、補償係",
建設局,整地工事課,"事務係、工事係",
建設局,港湾部管理課,"庶務係、企画係、経理係、地所係",
建設局,港湾部工事課,"事務係、設計係、工事第一係、工事第二係",
建設局,臨時露店対策部,"世話係、土地係",
交通局,総務課,"総務係、管財係、資材係、主計係、調査係",
交通局,労働課,"福利係、労務係",
交通局,電車課,"庶務係、運輸係、乗客係、車輌係",
交通局,自動車課,"庶務係、運輸係、燃料係、車輌係",
交通局,工務課,"管理係、軌道係、営繕係",
交通局,電気課,"管理係、電路係、配電係",
水道局,総務課,"総務係、勤労係、経理係",
水道局,業務課,"業務係、給水装置係",
水道局,給水課,"事務係、配水係、浄水係",
水道局,建設課,"工務係、計画係",
水道局,下水課,"事務係、技術係",
衛生局,総務課,"総務係、調査係",
衛生局,公衆衛生課,"庶務係、母子衛生係、栄養係、食品衛生係、獣医衛生係",
衛生局,医務課,"管理係、医務係、療養所係、歯科医務係",
衛生局,看護課,"事務係、保健婦係、助産婦係、看護婦係",
衛生局,予防課,"保健所第一係、保健所第二係、防疫係、虫疫係、性病係",
衛生局,薬務課,"薬務係、麻薬係、資材係、補給係",
衛生局,清掃事業部管理課,"庶務係、調達係、施設係",
衛生局,清掃事業部作業課,"作業第一係、作業第二係、指導室",
労働局,総務課,"総務係、調査係、監察室",
労働局,労政課,"労政係、労働組合係、労働教育係、資料係",
労働局,職業安定課,"紹介係、補導係、労務係",
労働局,失業保険徴収課,"監理係、業務係",
建築局,企画課,"総務係、経理係、企画係、管理係、資材係",
建築局,指導課,"計画係、指導係、設備係、業務係、監察係",
建築局,工事課,"宅地係、住宅建設第一係、住宅建設第二係、住宅建設第三係、庁舎建設係、学校建設係、装置係",
建築局,建設業室,,
出納長室,,庶務係・審査係・出納係・国費係,
